epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,47.5716,0.68403,0.82603,0.95708,0.77242,0.80177,0.97792,0.82995,0.62782,1.55344,0.86861,0.000922458,0.000922458,0.000922458
88,48.0734,0.66125,0.74764,0.99229,0.824,0.83222,0.97792,0.84073,0.61977,1.45394,0.87036,0.000931389,0.000931389,0.000931389
89,48.5226,0.63417,0.70468,0.87668,0.824,0.83222,0.97792,0.84073,0.61977,1.45394,0.87036,0.00094028,0.00094028,0.00094028
90,49.01,0.75386,0.93752,1.01109,0.89866,0.81587,0.96306,0.81942,0.61836,1.40316,0.85253,0.000949129,0.000949129,0.000949129
91,49.4426,0.60955,0.88179,0.9085,0.89866,0.81587,0.96306,0.81942,0.61836,1.40316,0.85253,0.000957937,0.000957937,0.000957937
92,49.8995,0.64336,0.79583,0.92554,0.87971,0.76017,0.9449,0.78709,0.66739,1.48112,0.89085,0.000966704,0.000966704,0.000966704
93,50.3158,0.63782,0.73726,0.97073,0.87971,0.76017,0.9449,0.78709,0.66739,1.48112,0.89085,0.00097543,0.00097543,0.00097543
94,50.8039,0.62727,0.80877,0.89458,0.85334,0.80246,0.93671,0.76399,0.69746,1.4975,0.94817,0.000984114,0.000984114,0.000984114
95,51.2229,0.62252,0.78388,0.95373,0.85334,0.80246,0.93671,0.76399,0.69746,1.4975,0.94817,0.000992758,0.000992758,0.000992758
96,51.6838,0.67064,0.81573,0.94204,0.83239,0.86602,0.92855,0.75341,0.77432,1.42882,0.99459,0.00100136,0.00100136,0.00100136
97,52.1182,0.64621,0.81825,0.93547,0.83239,0.86602,0.92855,0.75341,0.77432,1.42882,0.99459,0.00100992,0.00100992,0.00100992
98,52.5962,0.81093,0.89745,1.08725,0.87807,0.89833,0.95598,0.77623,0.68683,1.34446,0.94959,0.00101844,0.00101844,0.00101844
99,53.032,0.86435,0.8713,1.06654,0.87807,0.89833,0.95598,0.77623,0.68683,1.34446,0.94959,0.00102692,0.00102692,0.00102692
100,53.6169,0.71095,0.80182,1.04357,0.91094,0.85493,0.9425,0.77411,0.65568,1.35248,0.93237,0.00103535,0.00103535,0.00103535
101,54.0796,0.63227,0.94731,0.99853,0.91094,0.85493,0.9425,0.77411,0.65568,1.35248,0.93237,0.00104375,0.00104375,0.00104375
102,54.5285,0.6769,0.83723,0.99349,0.82066,0.79921,0.89048,0.73455,0.70156,1.58128,0.95745,0.00104169,0.00104169,0.00104169
103,54.9779,0.66115,0.74175,0.99471,0.82066,0.79921,0.89048,0.73455,0.70156,1.58128,0.95745,0.00103962,0.00103962,0.00103962
104,55.4396,0.65278,0.75809,0.94442,0.82595,0.72813,0.87565,0.64447,0.88453,1.80487,1.09027,0.00103756,0.00103756,0.00103756
105,55.8682,0.59645,0.76028,0.91582,0.82595,0.72813,0.87565,0.64447,0.88453,1.80487,1.09027,0.0010355,0.0010355,0.0010355
106,56.3395,0.7243,0.96993,1.10276,0.78527,0.73839,0.84016,0.62804,0.91416,1.77243,1.16324,0.00103344,0.00103344,0.00103344
107,56.7494,0.70521,0.78105,1.02404,0.78527,0.73839,0.84016,0.62804,0.91416,1.77243,1.16324,0.00103138,0.00103138,0.00103138
108,57.2225,0.57484,0.78893,0.93481,0.77079,0.73705,0.76299,0.58143,1.00579,1.66191,1.22402,0.00102931,0.00102931,0.00102931
109,57.6396,0.67739,1.0003,1.03416,0.77079,0.73705,0.76299,0.58143,1.00579,1.66191,1.22402,0.00102725,0.00102725,0.00102725
110,58.1471,0.61802,0.67082,0.917,0.64991,0.64551,0.71008,0.53655,1.01898,1.62591,1.3132,0.00102519,0.00102519,0.00102519
111,58.5856,0.77197,0.96641,1.06084,0.64991,0.64551,0.71008,0.53655,1.01898,1.62591,1.3132,0.00102312,0.00102312,0.00102312
112,59.0776,0.75553,0.89507,1.03975,0.71406,0.66195,0.79025,0.6251,0.94007,1.48301,1.1786,0.00102106,0.00102106,0.00102106
113,59.5392,0.58624,0.73466,0.90342,0.71406,0.66195,0.79025,0.6251,0.94007,1.48301,1.1786,0.001019,0.001019,0.001019
114,60.0196,0.74745,0.88478,1.01183,0.68022,0.67164,0.83324,0.65336,0.8855,1.42802,1.10143,0.00101694,0.00101694,0.00101694
115,60.4374,0.69838,0.94009,0.98268,0.68022,0.67164,0.83324,0.65336,0.8855,1.42802,1.10143,0.00101488,0.00101488,0.00101488
116,61.0223,0.75463,0.84418,1.00334,0.8289,0.78847,0.91149,0.72091,0.91721,1.31276,1.0976,0.00101281,0.00101281,0.00101281
117,61.4917,0.80702,0.97486,1.07752,0.8289,0.78847,0.91149,0.72091,0.91721,1.31276,1.0976,0.00101075,0.00101075,0.00101075
118,61.998,0.61236,0.78558,1.00265,0.7951,0.80083,0.93957,0.79287,0.69825,1.23432,0.91952,0.00100869,0.00100869,0.00100869
119,62.4242,0.72972,0.80626,0.97303,0.7951,0.80083,0.93957,0.79287,0.69825,1.23432,0.91952,0.00100663,0.00100663,0.00100663
120,62.8782,0.73456,0.88199,1.04809,0.88477,0.81562,0.95992,0.82642,0.63466,1.17445,0.87164,0.00100456,0.00100456,0.00100456
121,63.3378,0.78817,0.82519,1.03246,0.88477,0.81562,0.95992,0.82642,0.63466,1.17445,0.87164,0.0010025,0.0010025,0.0010025
122,63.8123,0.5415,0.65996,0.92409,0.89414,0.86462,0.971,0.85232,0.57741,1.15316,0.84362,0.00100044,0.00100044,0.00100044
123,64.242,0.65213,0.80307,0.95841,0.89414,0.86462,0.971,0.85232,0.57741,1.15316,0.84362,0.000998375,0.000998375,0.000998375
124,64.6918,0.58613,0.65509,0.88069,0.92169,0.93746,0.98095,0.86692,0.57127,1.15583,0.84368,0.000996313,0.000996313,0.000996313
125,65.1108,0.60098,0.64981,0.91524,0.92169,0.93746,0.98095,0.86692,0.57127,1.15583,0.84368,0.00099425,0.00099425,0.00099425
126,65.5967,0.67419,0.7459,0.96773,0.86882,0.93611,0.96655,0.86376,0.56304,1.20381,0.84898,0.000992188,0.000992188,0.000992188
127,66.0163,0.71643,0.75568,0.96397,0.86882,0.93611,0.96655,0.86376,0.56304,1.20381,0.84898,0.000990125,0.000990125,0.000990125
128,66.4901,0.71843,0.74374,0.93799,0.85598,0.96972,0.95214,0.85341,0.56346,1.27656,0.85223,0.000988063,0.000988063,0.000988063
129,66.932,0.71572,0.93215,1.10617,0.85598,0.96972,0.95214,0.85341,0.56346,1.27656,0.85223,0.000986,0.000986,0.000986
130,67.385,0.57344,0.60757,0.90677,0.82553,0.90729,0.94917,0.8161,0.59915,1.34719,0.85407,0.000983938,0.000983938,0.000983938
131,67.9666,0.60264,0.68876,0.9653,0.82553,0.90729,0.94917,0.8161,0.59915,1.34719,0.85407,0.000981875,0.000981875,0.000981875
132,68.4589,0.74827,0.78277,1.0816,0.79183,0.81029,0.95471,0.84028,0.61064,1.35606,0.84605,0.000979812,0.000979812,0.000979812
133,68.9007,0.61506,0.78628,0.98499,0.79183,0.81029,0.95471,0.84028,0.61064,1.35606,0.84605,0.00097775,0.00097775,0.00097775
134,69.3942,0.74845,0.80913,1.08419,0.87575,0.775,0.97667,0.87762,0.55659,1.26785,0.84924,0.000975687,0.000975687,0.000975687
135,69.8582,0.71622,0.78537,1.00297,0.87575,0.775,0.97667,0.87762,0.55659,1.26785,0.84924,0.000973625,0.000973625,0.000973625
136,70.3584,0.69497,0.91391,0.9997,0.93381,0.8603,0.995,0.86073,0.61226,0.98948,0.85505,0.000971562,0.000971562,0.000971562
137,70.8464,0.80399,0.81704,1.0137,0.93381,0.8603,0.995,0.86073,0.61226,0.98948,0.85505,0.0009695,0.0009695,0.0009695
138,71.3346,0.60764,0.7131,0.91564,0.97065,0.97713,0.995,0.85437,0.65927,0.77043,0.86029,0.000967438,0.000967438,0.000967438
139,71.8199,0.68152,0.79976,1.00373,0.97065,0.97713,0.995,0.85437,0.65927,0.77043,0.86029,0.000965375,0.000965375,0.000965375
140,72.3928,0.69378,0.76317,0.94799,0.96876,1,0.995,0.82406,0.68252,0.71736,0.87442,0.000963312,0.000963312,0.000963312
141,72.9185,0.62742,0.6383,0.8742,0.96876,1,0.995,0.82406,0.68252,0.71736,0.87442,0.00096125,0.00096125,0.00096125
142,73.3926,0.65975,0.71243,0.96334,0.96431,1,0.995,0.84907,0.62482,0.68569,0.86716,0.000959187,0.000959187,0.000959187
143,73.8643,0.64544,0.75634,0.99082,0.96431,1,0.995,0.84907,0.62482,0.68569,0.86716,0.000957125,0.000957125,0.000957125
144,74.3719,0.651,0.71555,0.94202,0.97393,1,0.995,0.87342,0.58195,0.65342,0.84928,0.000955063,0.000955063,0.000955063
145,74.8247,0.70426,0.79598,0.99278,0.97393,1,0.995,0.87342,0.58195,0.65342,0.84928,0.000953,0.000953,0.000953
146,75.4666,0.62976,0.64826,0.94442,0.96473,1,0.995,0.85888,0.6284,0.68547,0.87576,0.000950937,0.000950937,0.000950937
147,75.9156,1.02935,0.99641,1.19541,0.96473,1,0.995,0.85888,0.6284,0.68547,0.87576,0.000948875,0.000948875,0.000948875
148,76.3806,0.71981,0.73866,0.99265,0.97624,0.97098,0.995,0.88107,0.60485,0.76258,0.87138,0.000946812,0.000946812,0.000946812
149,76.8417,0.88452,0.87698,1.18585,0.97624,0.97098,0.995,0.88107,0.60485,0.76258,0.87138,0.00094475,0.00094475,0.00094475
150,77.3372,0.61081,0.74964,0.9872,0.95947,0.94934,0.995,0.87939,0.57592,0.76691,0.84826,0.000942688,0.000942688,0.000942688
151,77.7947,0.61181,0.72779,1.01895,0.95947,0.94934,0.995,0.87939,0.57592,0.76691,0.84826,0.000940625,0.000940625,0.000940625
152,78.2553,0.56327,0.61251,0.8752,0.95972,0.93895,0.995,0.86776,0.58006,0.76695,0.85359,0.000938563,0.000938563,0.000938563
153,78.7164,0.78421,0.81821,1.06013,0.95972,0.93895,0.995,0.86776,0.58006,0.76695,0.85359,0.0009365,0.0009365,0.0009365
154,79.2091,0.68925,0.76094,1.0072,0.97076,0.91852,0.995,0.86553,0.57259,0.72384,0.86433,0.000934438,0.000934438,0.000934438
155,79.6508,0.69612,0.81,0.96044,0.97076,0.91852,0.995,0.86553,0.57259,0.72384,0.86433,0.000932375,0.000932375,0.000932375
156,80.1234,0.61389,0.72284,1.01163,0.95564,0.92755,0.995,0.88073,0.54826,0.68332,0.86535,0.000930313,0.000930313,0.000930313
157,80.6275,0.62039,0.695,0.92151,0.95564,0.92755,0.995,0.88073,0.54826,0.68332,0.86535,0.00092825,0.00092825,0.00092825
158,81.1272,0.62559,0.68959,0.93383,0.94442,0.99374,0.995,0.86538,0.55935,0.64852,0.88673,0.000926188,0.000926188,0.000926188
159,81.5555,0.62857,0.67067,0.93737,0.94442,0.99374,0.995,0.86538,0.55935,0.64852,0.88673,0.000924125,0.000924125,0.000924125
160,82.1351,0.6442,0.80019,0.98565,0.98538,0.96673,0.995,0.8718,0.53801,0.58989,0.87919,0.000922063,0.000922063,0.000922063
161,82.6121,0.58508,0.68992,0.94076,0.98538,0.96673,0.995,0.8718,0.53801,0.58989,0.87919,0.00092,0.00092,0.00092
162,83.0937,0.51029,0.69076,0.92172,0.97751,0.97818,0.995,0.88921,0.50081,0.54892,0.85436,0.000917938,0.000917938,0.000917938
163,83.5307,0.42799,0.51596,0.85717,0.97751,0.97818,0.995,0.88921,0.50081,0.54892,0.85436,0.000915875,0.000915875,0.000915875
164,84.0098,0.50082,0.56572,0.84706,0.95737,0.99749,0.995,0.8974,0.49042,0.59142,0.84998,0.000913813,0.000913813,0.000913813
165,84.4272,0.6373,0.70618,0.94431,0.95737,0.99749,0.995,0.8974,0.49042,0.59142,0.84998,0.00091175,0.00091175,0.00091175
166,84.9236,0.56351,0.66322,0.95213,0.94871,1,0.995,0.8976,0.4743,0.60475,0.83409,0.000909688,0.000909688,0.000909688
167,85.3478,0.53172,0.63624,0.91754,0.94871,1,0.995,0.8976,0.4743,0.60475,0.83409,0.000907625,0.000907625,0.000907625
168,85.8278,0.49439,0.66607,0.88695,0.92776,1,0.995,0.89952,0.45538,0.57265,0.82109,0.000905563,0.000905563,0.000905563
169,86.2634,0.60011,0.91996,1.01359,0.92776,1,0.995,0.89952,0.45538,0.57265,0.82109,0.0009035,0.0009035,0.0009035
170,86.7429,0.72937,0.82029,1.0303,0.93126,1,0.995,0.90327,0.50024,0.61023,0.82253,0.000901438,0.000901438,0.000901438
171,87.1777,0.62794,0.73314,0.9813,0.93126,1,0.995,0.90327,0.50024,0.61023,0.82253,0.000899375,0.000899375,0.000899375
172,87.6919,0.52759,0.69438,0.88067,0.91696,0.99382,0.995,0.92962,0.45668,0.61999,0.81246,0.000897313,0.000897313,0.000897313
173,88.1395,0.56167,0.68028,0.8812,0.91696,0.99382,0.995,0.92962,0.45668,0.61999,0.81246,0.00089525,0.00089525,0.00089525
174,88.7349,0.5452,0.64251,0.85397,0.96388,0.94044,0.995,0.9159,0.48533,0.64275,0.85336,0.000893187,0.000893187,0.000893187
175,89.1544,0.60083,0.68983,0.97494,0.96388,0.94044,0.995,0.9159,0.48533,0.64275,0.85336,0.000891125,0.000891125,0.000891125
176,89.6226,0.66632,0.69174,0.97779,0.95963,0.95178,0.995,0.90253,0.49627,0.63337,0.86478,0.000889062,0.000889062,0.000889062
177,90.047,0.71943,0.76241,0.99459,0.95963,0.95178,0.995,0.90253,0.49627,0.63337,0.86478,0.000887,0.000887,0.000887
